,id,name,price,currency,created_at,id missing,name missing,price missing,currency missing,created_at missing
0,SKU-1001,shoes,799.0,SEK,2024-01-10,False,False,False,False,False
1,SKU-1002,pants,520.0,SEK,2024/02/15,False,False,False,False,False
8,SKU-1009,socks,99.0,SEK,2024-02-01,False,False,False,False,False
9,SKU-1010,boots,1500.0,SEK,2024-02-15,False,False,False,False,False
10,SKU-1011,scarf,200.0,SEK,2024-03-01,False,False,False,False,False
11,SKU-1012,belt,300.0,SEK,2024/03/10,False,False,False,False,False
12,SKU-1013,cap,75.0,SEK,2024-04-01,False,False,False,False,False
13,SKU-1014,t-shirt,0.0,SEK,2024-04-10,False,False,False,False,False
14,SKU-1015,hoodie,-50.0,SEK,2024-04-15,False,False,False,False,False
15,SKU-1016,coat,2500.0,SEK,2024-05-01,False,False,False,False,False
16,SKU-1017,jeans,800.0,SEK,2024-05-05,False,False,False,False,False
17,SKU-1018,sneakers,1200.0,SEK,2024-05-10,False,False,False,False,False
18,SKU-1019,sandals,400.0,SEK,2024-05-15,False,False,False,False,False
19,SKU-1020,watch,15000.0,SEK,2024-06-01,False,False,False,False,False
20,SKU-1021,ring,25000.0,SEK,2024-06-05,False,False,False,False,False
21,SKU-1022,bracelet,500.0,SEK,2024-06-10,False,False,False,False,False
22,SKU-1023,necklace,650.0,SEK,2024-06-15,False,False,False,False,False
23,SKU-1024,sunglasses,900.0,SEK,2024-07-01,False,False,False,False,False
24,SKU-1025,backpack,1100.0,SEK,2024-07-05,False,False,False,False,False
25,SKU-1026,umbrella,300.0,SEK,2024-07-10,False,False,False,False,False
26,SKU-1027,winter jacket,3500.0,SEK,2024-07-15,False,False,False,False,False
27,SKU-1028,shorts,450.0,SEK,2024-08-01,False,False,False,False,False
28,SKU-1029,skirt,500.0,SEK,2024-08-05,False,False,False,False,False
29,SKU-1030,gloves,200.0,SEK,2024-08-10,False,False,False,False,False
30,SKU-1031,mittens,220.0,SEK,2024-08-15,False,False,False,False,False
31,SKU-1032,suit,5000.0,SEK,2024-09-01,False,False,False,False,False
32,SKU-1033,tie,150.0,SEK,2024-09-05,False,False,False,False,False
33,SKU-1034,blazer,2200.0,SEK,2024-09-10,False,False,False,False,False
34,SKU-1035,polo,600.0,SEK,2024-09-15,False,False,False,False,False
35,SKU-1036,leggings,350.0,SEK,2024-10-01,False,False,False,False,False
36,SKU-1037,tracksuit,1200.0,SEK,2024-10-05,False,False,False,False,False
37,SKU-1038,swimsuit,700.0,SEK,2024-10-10,False,False,False,False,False
38,SKU-1039,coat,999999.0,SEK,2024-10-15,False,False,False,False,False
39,SKU-1040,parka,4500.0,SEK,2024-11-01,False,False,False,False,False
40,SKU-1041,beanie,180.0,SEK,2024-11-05,False,False,False,False,False
41,SKU-1042,earmuffs,130.0,SEK,2024-11-10,False,False,False,False,False
43,SKU-1044,vest,800.0,SEK,2024-12-01,False,False,False,False,False
44,SKU-1045,loafers,1100.0,SEK,2024-12-05,False,False,False,False,False
45,SKU-1046,sneakers,1000.0,SEK,2024-12-10,False,False,False,False,False
46,SKU-1047,heels,1500.0,SEK,2024-12-15,False,False,False,False,False
47,SKU-1048,flipflops,100.0,SEK,2024-12-20,False,False,False,False,False
48,SKU-1049,robe,900.0,SEK,2024-12-25,False,False,False,False,False
49,SKU-1050,pyjamas,600.0,SEK,2025-01-01,False,False,False,False,False
50,SKU-1051,suspenders,250.0,SEK,2025-01-05,False,False,False,False,False
51,SKU-1052,coat,,SEK,2025-01-10,False,False,False,False,False
52,SKU-1053,cap,85.0,SEK,2025-01-15,False,False,False,False,False
